split	fold	model	query_id	n_candidates	n_positives	best_positive_rank	H1	H10	H50	MRR	Recall_at_1pct
Random-edge	0	F	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O	6457	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	T_P	C([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O	6456	1	5650	0.0	0.0	0.0	0.0001769911504424	0.0
Random-edge	0	T_L	C([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O	6456	1	5646	0.0	0.0	0.0	0.000177116542685	0.0
Random-edge	0	Dstar	C([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O	6456	1	759	0.0	0.0	0.0	0.0013175230566534	0.0
Random-edge	0	B	C([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O	6456	1	5499	0.0	0.0	0.0	0.000181851245681	0.0
Random-edge	0	F	C([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O	6456	1	5500	0.0	0.0	0.0	0.0001818181818181	0.0
Random-edge	0	T_P	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	6457	2	2195	0.0	0.0	0.0	0.0004555808656036	0.0
Random-edge	0	T_L	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	6457	2	2457	0.0	0.0	0.0	0.0004070004070004	0.0
Random-edge	0	Dstar	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	6457	2	2230	0.0	0.0	0.0	0.0004484304932735	0.0
Random-edge	0	B	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	6457	2	2062	0.0	0.0	0.0	0.0004849660523763	0.0
Random-edge	0	F	C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O	6457	2	2062	0.0	0.0	0.0	0.0004849660523763	0.0
Random-edge	0	T_P	C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	T_L	C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	Dstar	C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O	6456	1	1	1.0	1.0	1.0	1.0	1.0
Random-edge	0	B	C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O	6456	1	2	0.0	1.0	1.0	0.5	1.0
Random-edge	0	F	C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O	6456	1	1	1.0	1.0	1.0	1.0	1.0
